Namespace(duration=43200, fig_directory='res/simulator', generate_addition_probabilities=False, generate_graphs=True, generate_table=False, model='GPT-3', model_size='350M', performace_log_interval=1, removal_probability=None, seed=None, spot_instance_desired_capacity=20, spot_instance_trace='traces/g4dn-trace-8-20.csv', start_hour=None)
[0.000] node1 simulate_spot_instance_add: 0
[0.000] node3 simulate_spot_instance_add: 0
[0.000] node7 simulate_spot_instance_add: 0
[0.000] node15 simulate_spot_instance_add: 0
[0.000] node14 simulate_spot_instance_add: 0
[0.000] node6 simulate_spot_instance_add: 0
[0.000] node13 simulate_spot_instance_add: 0
[0.000] node12 simulate_spot_instance_add: 0
[0.000] node2 simulate_spot_instance_add: 0
[0.000] node5 simulate_spot_instance_add: 0
[0.000] node11 simulate_spot_instance_add: 0
[0.000] node10 simulate_spot_instance_add: 0
[0.000] node20 simulate_spot_instance_add: 0
[0.000] node4 simulate_spot_instance_add: 0
[0.000] node9 simulate_spot_instance_add: 0
[0.000] node19 simulate_spot_instance_add: 0
[0.000] node18 simulate_spot_instance_add: 0
[0.000] node8 simulate_spot_instance_add: 0
[0.000] node17 simulate_spot_instance_add: 0
[0.000] node16 simulate_spot_instance_add: 0
[45.000] node7 simulate_spot_instance_ready: 45000
[45.000] node7 starting global rendezvous
[45.000] simulate_rendezvous_start: 45000 True
[45.000] simulate_rendezvous_restart: 45000
[45.000] simulate_preparation: 45000 ['node7']
[45.000] node14 simulate_spot_instance_ready: 45000
[45.000] node6 simulate_spot_instance_ready: 45000
[45.000] node17 simulate_spot_instance_ready: 45000
[45.000] node16 simulate_spot_instance_ready: 45000
[45.000] node15 simulate_spot_instance_ready: 45000
[45.000] node13 simulate_spot_instance_ready: 45000
[45.000] node5 simulate_spot_instance_ready: 45000
[45.000] node8 simulate_spot_instance_ready: 45000
[45.000] node12 simulate_spot_instance_ready: 45000
[45.000] node2 simulate_spot_instance_ready: 45000
[45.000] node11 simulate_spot_instance_ready: 45000
[45.000] node20 simulate_spot_instance_ready: 45000
[45.000] node18 simulate_spot_instance_ready: 45000
[45.000] node10 simulate_spot_instance_ready: 45000
[45.000] node4 simulate_spot_instance_ready: 45000
[45.000] node19 simulate_spot_instance_ready: 45000
[45.000] node1 simulate_spot_instance_ready: 45000
[45.000] node3 simulate_spot_instance_ready: 45000
[45.000] node9 simulate_spot_instance_ready: 45000
[46.000] simulate_preparation: 46000
[46.000] simulate_preparation: 46000 ['node7', 'node14', 'node6', 'node17', 'node16', 'node15', 'node13', 'node5', 'node8', 'node12', 'node2', 'node11', 'node20', 'node18', 'node10', 'node4', 'node19', 'node1', 'node3', 'node9']
[46.000] simulate_assign_coordinates ['node7', 'node14', 'node6', 'node17', 'node16', 'node15', 'node13', 'node5', 'node8', 'node12', 'node2', 'node11', 'node20', 'node18', 'node10', 'node4', 'node19', 'node1', 'node3', 'node9']
46000 20 nodes completed rendezvous version 1, 20x1 configuration
46000 starting training with 20 20 nodes
[2143.181] simulate training iteration execution finish 264
[2153.421] simulate training iteration execution finish 265
[2163.661] simulate training iteration execution finish 266
[2173.901] simulate training iteration execution finish 267
[2184.141] simulate training iteration execution finish 268
[2194.381] simulate training iteration execution finish 269
[2204.621] simulate training iteration execution finish 270
[2214.861] simulate training iteration execution finish 271
[2225.101] simulate training iteration execution finish 272
[2235.341] simulate training iteration execution finish 273
[2245.581] simulate training iteration execution finish 274
[2255.821] simulate training iteration execution finish 275
[2266.061] simulate training iteration execution finish 276
[2276.301] simulate training iteration execution finish 277
[2286.541] simulate training iteration execution finish 278
[2296.781] simulate training iteration execution finish 279
[2307.021] simulate training iteration execution finish 280
[2317.261] simulate training iteration execution finish 281
[2327.501] simulate training iteration execution finish 282
[2337.741] simulate training iteration execution finish 283
[2347.981] simulate training iteration execution finish 284
[2358.221] simulate training iteration execution finish 285
[2368.461] simulate training iteration execution finish 286
[2378.701] simulate training iteration execution finish 287
[2388.941] simulate training iteration execution finish 288
[2399.181] simulate training iteration execution finish 289
[2409.421] simulate training iteration execution finish 290
[2419.661] simulate training iteration execution finish 291
[2429.901] simulate training iteration execution finish 292
[2440.141] simulate training iteration execution finish 293
[2450.381] simulate training iteration execution finish 294
[2460.621] simulate training iteration execution finish 295
[2470.861] simulate training iteration execution finish 296
[2481.101] simulate training iteration execution finish 297
[2491.341] simulate training iteration execution finish 298
[2501.581] simulate training iteration execution finish 299
[2511.821] simulate training iteration execution finish 300
[2522.061] simulate training iteration execution finish 301
[2532.301] simulate training iteration execution finish 302
[2542.541] simulate training iteration execution finish 303
[2552.781] simulate training iteration execution finish 304
[2563.021] simulate training iteration execution finish 305
[2573.261] simulate training iteration execution finish 306
[2580.000] node24 simulate_spot_instance_add: 2580000
[2580.000] node22 simulate_spot_instance_add: 2580000
[2580.000] node21 simulate_spot_instance_add: 2580000
[2580.000] node23 simulate_spot_instance_add: 2580000
[2583.501] simulate training iteration execution finish 307
[2593.741] simulate training iteration execution finish 308
[2603.981] simulate training iteration execution finish 309
[2614.221] simulate training iteration execution finish 310
[2624.461] simulate training iteration execution finish 311
[2625.000] node24 simulate_spot_instance_ready: 2625000
[2625.000] node22 simulate_spot_instance_ready: 2625000
[2625.000] node21 simulate_spot_instance_ready: 2625000
[2625.000] node23 simulate_spot_instance_ready: 2625000
[2634.701] simulate training iteration execution finish 312
[2644.941] simulate training iteration execution finish 313
[2655.181] simulate training iteration execution finish 314
[2665.421] simulate training iteration execution finish 315
[2675.661] simulate training iteration execution finish 316
[2685.901] simulate training iteration execution finish 317
[2696.141] simulate training iteration execution finish 318
[2706.381] simulate training iteration execution finish 319
[2716.621] simulate training iteration execution finish 320
[2726.861] simulate training iteration execution finish 321
[2737.101] simulate training iteration execution finish 322
[2747.341] simulate training iteration execution finish 323
[2757.581] simulate training iteration execution finish 324
[2767.821] simulate training iteration execution finish 325
[2778.061] simulate training iteration execution finish 326
[2788.301] simulate training iteration execution finish 327
[2798.541] simulate training iteration execution finish 328
[2808.781] simulate training iteration execution finish 329
[2819.021] simulate training iteration execution finish 330
[2829.261] simulate training iteration execution finish 331
[2839.501] simulate training iteration execution finish 332
[2849.741] simulate training iteration execution finish 333
[2859.981] simulate training iteration execution finish 334
[2870.221] simulate training iteration execution finish 335
[2880.461] simulate training iteration execution finish 336
[2890.701] simulate training iteration execution finish 337
[2900.941] simulate training iteration execution finish 338
[2911.181] simulate training iteration execution finish 339
[2921.421] simulate training iteration execution finish 340
[2931.661] simulate training iteration execution finish 341
[2941.901] simulate training iteration execution finish 342
[2952.141] simulate training iteration execution finish 343
[2962.381] simulate training iteration execution finish 344
[2972.621] simulate training iteration execution finish 345
[2982.861] simulate training iteration execution finish 346
[2993.101] simulate training iteration execution finish 347
[3003.341] simulate training iteration execution finish 348
[3013.581] simulate training iteration execution finish 349
[3023.821] simulate training iteration execution finish 350
[3034.061] simulate training iteration execution finish 351
[3044.301] simulate training iteration execution finish 352
[3054.541] simulate training iteration execution finish 353
[3060.000] node1 simulate_spot_instance_remove: 3060000
[3060.000] simulate_rendezvous_start: 3060000 False
[3060.000] simulate_rendezvous_restart: 3060000
[3060.000] node22 simulate_spot_instance_remove: 3060000
[3060.000] same delta as last reconfigure, skipping
[3060.000] node2 simulate_spot_instance_remove: 3060000
[3060.000] same delta as last reconfigure, skipping
[3060.860] simulate_reconfigure: 3060860.0
[3060.860] simulate_preparation: 3060860.0 ['node7', 'node15', 'node14', 'node6', 'node13', 'node12', 'node2', 'node5', 'node10', 'node20', 'node4', 'node9', 'node18', 'node8', 'node16', 'node24', 'node22', 'node21', 'node23']
[3060.860] node2 terminated during redezvous, restarting
[3060.860] simulate_rendezvous_restart: 3060860.0
[3060.860] simulate_preparation: 3060860.0
[3060.860] simulate_preparation: 3060860.0 ['node7', 'node15', 'node14', 'node6', 'node13', 'node12', 'node5', 'node10', 'node20', 'node4', 'node9', 'node18', 'node8', 'node16', 'node24', 'node21', 'node23']
[3060.860] simulate_assign_coordinates ['node7', 'node15', 'node14', 'node6', 'node13', 'node12', 'node5', 'node10', 'node20', 'node4', 'node9', 'node18', 'node8', 'node16', 'node24', 'node21', 'node23']
3060860.0 17 nodes completed rendezvous version 3, 17x1 configuration
3060860.0 starting training with 17 17 nodes
[3071.870] simulate training iteration execution finish 354
[3082.880] simulate training iteration execution finish 355
[3093.890] simulate training iteration execution finish 356
[3104.900] simulate training iteration execution finish 357
[3115.910] simulate training iteration execution finish 358
[3126.920] simulate training iteration execution finish 359
[3137.930] simulate training iteration execution finish 360
[3148.940] simulate training iteration execution finish 361
[3159.950] simulate training iteration execution finish 362
[3170.960] simulate training iteration execution finish 363
[3180.000] node20 simulate_spot_instance_remove: 3180000
[3180.000] simulate_rendezvous_start: 3180000 False
[3180.000] simulate_rendezvous_restart: 3180000
[3180.000] node13 simulate_spot_instance_remove: 3180000
[3180.000] same delta as last reconfigure, skipping
[3180.850] simulate_reconfigure: 3180850.0
[3180.850] simulate_preparation: 3180850.0 ['node7', 'node15', 'node14', 'node6', 'node13', 'node12', 'node5', 'node10', 'node4', 'node9', 'node18', 'node8', 'node16', 'node24', 'node21', 'node23']
[3180.850] node13 terminated during redezvous, restarting
[3180.850] simulate_rendezvous_restart: 3180850.0
[3180.850] simulate_preparation: 3180850.0
[3180.850] simulate_preparation: 3180850.0 ['node7', 'node15', 'node14', 'node6', 'node12', 'node5', 'node10', 'node4', 'node9', 'node18', 'node8', 'node16', 'node24', 'node21', 'node23']
[3180.850] simulate_assign_coordinates ['node7', 'node15', 'node14', 'node6', 'node12', 'node5', 'node10', 'node4', 'node9', 'node18', 'node8', 'node16', 'node24', 'node21', 'node23']
3180850.0 15 nodes completed rendezvous version 4, 15x1 configuration
3180850.0 starting training with 15 15 nodes
[3192.450] simulate training iteration execution finish 364
[3204.050] simulate training iteration execution finish 365
[3215.650] simulate training iteration execution finish 366
[3227.250] simulate training iteration execution finish 367
[3238.850] simulate training iteration execution finish 368
[3240.000] node15 simulate_spot_instance_remove: 3240000
[3240.000] simulate_rendezvous_start: 3240000 False
[3240.000] simulate_rendezvous_restart: 3240000
[3240.938] simulate_reconfigure: 3240937.5
[3240.938] simulate_preparation: 3240937.5 ['node7', 'node14', 'node6', 'node12', 'node5', 'node10', 'node4', 'node9', 'node18', 'node8', 'node16', 'node24', 'node21', 'node23']
[3240.938] simulate_assign_coordinates ['node7', 'node14', 'node6', 'node12', 'node5', 'node10', 'node4', 'node9', 'node18', 'node8', 'node16', 'node24', 'node21', 'node23']
3240937.5 14 nodes completed rendezvous version 5, 14x1 configuration
3240937.5 starting training with 14 14 nodes
[3252.097] simulate training iteration execution finish 369
[3263.258] simulate training iteration execution finish 370
[3274.418] simulate training iteration execution finish 371
[3285.577] simulate training iteration execution finish 372
[3296.738] simulate training iteration execution finish 373
[3307.898] simulate training iteration execution finish 374
[3319.057] simulate training iteration execution finish 375
[3330.218] simulate training iteration execution finish 376
[3341.378] simulate training iteration execution finish 377
[3352.537] simulate training iteration execution finish 378
[3363.698] simulate training iteration execution finish 379
[3374.858] simulate training iteration execution finish 380
[3386.017] simulate training iteration execution finish 381
[3397.177] simulate training iteration execution finish 382
[3408.338] simulate training iteration execution finish 383
[3419.497] simulate training iteration execution finish 384
[3430.657] simulate training iteration execution finish 385
[3441.818] simulate training iteration execution finish 386
[3452.977] simulate training iteration execution finish 387
[3464.137] simulate training iteration execution finish 388
[3475.298] simulate training iteration execution finish 389
[3486.457] simulate training iteration execution finish 390
[3497.617] simulate training iteration execution finish 391
[3508.778] simulate training iteration execution finish 392
[3519.938] simulate training iteration execution finish 393
[3531.097] simulate training iteration execution finish 394
[3540.000] node16 simulate_spot_instance_remove: 3540000
[3540.000] simulate_rendezvous_start: 3540000 False
[3540.000] simulate_rendezvous_restart: 3540000
[3540.000] node4 simulate_spot_instance_remove: 3540000
[3540.000] same delta as last reconfigure, skipping
[3541.038] simulate_reconfigure: 3541038.125
[3541.038] simulate_preparation: 3541038.125 ['node7', 'node14', 'node6', 'node12', 'node5', 'node10', 'node4', 'node9', 'node18', 'node8', 'node24', 'node21', 'node23']
[3541.038] node4 terminated during redezvous, restarting
[3541.038] simulate_rendezvous_restart: 3541038.125
[3541.038] simulate_preparation: 3541038.125
[3541.038] simulate_preparation: 3541038.125 ['node7', 'node14', 'node6', 'node12', 'node5', 'node10', 'node9', 'node18', 'node8', 'node24', 'node21', 'node23']
[3541.038] simulate_assign_coordinates ['node7', 'node14', 'node6', 'node12', 'node5', 'node10', 'node9', 'node18', 'node8', 'node24', 'node21', 'node23']
3541038.125 12 nodes completed rendezvous version 6, 12x1 configuration
3541038.125 starting training with 12 12 nodes
[3553.638] simulate training iteration execution finish 395
[3566.238] simulate training iteration execution finish 396
[3578.838] simulate training iteration execution finish 397
[3591.438] simulate training iteration execution finish 398
[3604.038] simulate training iteration execution finish 399
[3616.638] simulate training iteration execution finish 400
[3629.238] simulate training iteration execution finish 401
[3641.838] simulate training iteration execution finish 402
[3654.438] simulate training iteration execution finish 403
[3660.000] node30 simulate_spot_instance_add: 3660000
[3660.000] node29 simulate_spot_instance_add: 3660000
[3660.000] node28 simulate_spot_instance_add: 3660000
[3660.000] node27 simulate_spot_instance_add: 3660000
[3660.000] node26 simulate_spot_instance_add: 3660000
[3660.000] node25 simulate_spot_instance_add: 3660000
[3667.038] simulate training iteration execution finish 404
[3679.638] simulate training iteration execution finish 405
[3692.238] simulate training iteration execution finish 406
[3704.838] simulate training iteration execution finish 407
[3705.000] node30 simulate_spot_instance_ready: 3705000
[3705.000] node29 simulate_spot_instance_ready: 3705000
[3705.000] node28 simulate_spot_instance_ready: 3705000
[3705.000] node27 simulate_spot_instance_ready: 3705000
[3705.000] node26 simulate_spot_instance_ready: 3705000
[3705.000] node25 simulate_spot_instance_ready: 3705000
[3717.438] simulate training iteration execution finish 408
[3730.038] simulate training iteration execution finish 409
[3742.638] simulate training iteration execution finish 410
[3755.238] simulate training iteration execution finish 411
[3767.838] simulate training iteration execution finish 412
[3780.438] simulate training iteration execution finish 413
[3793.038] simulate training iteration execution finish 414
[3805.638] simulate training iteration execution finish 415
[3818.238] simulate training iteration execution finish 416
[3830.838] simulate training iteration execution finish 417
[3843.438] simulate training iteration execution finish 418
[3856.038] simulate training iteration execution finish 419
[3868.638] simulate training iteration execution finish 420
[3881.238] simulate training iteration execution finish 421
[3893.838] simulate training iteration execution finish 422
[3900.000] node32 simulate_spot_instance_add: 3900000
[3900.000] node31 simulate_spot_instance_add: 3900000
[3906.438] simulate training iteration execution finish 423
[3919.038] simulate training iteration execution finish 424
[3931.638] simulate training iteration execution finish 425
[3944.238] simulate training iteration execution finish 426
[3945.000] node32 simulate_spot_instance_ready: 3945000
[3945.000] node31 simulate_spot_instance_ready: 3945000
[3956.838] simulate training iteration execution finish 427
[3969.438] simulate training iteration execution finish 428
[3982.038] simulate training iteration execution finish 429
[3994.638] simulate training iteration execution finish 430
[4007.238] simulate training iteration execution finish 431
[4019.838] simulate training iteration execution finish 432
[4032.438] simulate training iteration execution finish 433
[4045.038] simulate training iteration execution finish 434
[4057.638] simulate training iteration execution finish 435
[4070.238] simulate training iteration execution finish 436
[4082.838] simulate training iteration execution finish 437
[4095.438] simulate training iteration execution finish 438
[4108.038] simulate training iteration execution finish 439
[4120.638] simulate training iteration execution finish 440
[4133.238] simulate training iteration execution finish 441
[4145.838] simulate training iteration execution finish 442
[4158.438] simulate training iteration execution finish 443
[4171.038] simulate training iteration execution finish 444
[4183.638] simulate training iteration execution finish 445
[4196.238] simulate training iteration execution finish 446
[4208.838] simulate training iteration execution finish 447
[4221.438] simulate training iteration execution finish 448
[4234.038] simulate training iteration execution finish 449
[4246.638] simulate training iteration execution finish 450
[4259.238] simulate training iteration execution finish 451
[4271.838] simulate training iteration execution finish 452
[4284.438] simulate training iteration execution finish 453
[4297.038] simulate training iteration execution finish 454
[4309.638] simulate training iteration execution finish 455
[4322.238] simulate training iteration execution finish 456
[4334.838] simulate training iteration execution finish 457
[4347.438] simulate training iteration execution finish 458
[4360.038] simulate training iteration execution finish 459
[4372.638] simulate training iteration execution finish 460
[4385.238] simulate training iteration execution finish 461
[4397.838] simulate training iteration execution finish 462
[4410.438] simulate training iteration execution finish 463
[4423.038] simulate training iteration execution finish 464
[4435.638] simulate training iteration execution finish 465
[4448.238] simulate training iteration execution finish 466
[4460.838] simulate training iteration execution finish 467
[4473.438] simulate training iteration execution finish 468
[4486.038] simulate training iteration execution finish 469
[4498.638] simulate training iteration execution finish 470
[4511.238] simulate training iteration execution finish 471
[4523.838] simulate training iteration execution finish 472
[4536.438] simulate training iteration execution finish 473
[4549.038] simulate training iteration execution finish 474
[4561.638] simulate training iteration execution finish 475
[4574.238] simulate training iteration execution finish 476
[4586.838] simulate training iteration execution finish 477
[4599.438] simulate training iteration execution finish 478
[4612.038] simulate training iteration execution finish 479
[4620.000] node25 simulate_spot_instance_remove: 4620000
[4620.000] simulate_rendezvous_start: 4620000 False
[4620.000] simulate_rendezvous_restart: 4620000
[4621.007] simulate_reconfigure: 4621007.5
[4621.007] simulate_preparation: 4621007.5 ['node7', 'node14', 'node6', 'node12', 'node5', 'node10', 'node9', 'node18', 'node8', 'node24', 'node21', 'node23', 'node30', 'node29', 'node28', 'node27', 'node26', 'node32', 'node31']
[4621.007] simulate_assign_coordinates ['node7', 'node14', 'node6', 'node12', 'node5', 'node10', 'node9', 'node18', 'node8', 'node24', 'node21', 'node23', 'node30', 'node29', 'node28', 'node27', 'node26', 'node32', 'node31']
4621007.5 19 nodes completed rendezvous version 7, 19x1 configuration
4621007.5 starting training with 19 19 nodes
[4629.818] simulate training iteration execution finish 480
[4638.627] simulate training iteration execution finish 481
[4647.438] simulate training iteration execution finish 482
[4656.248] simulate training iteration execution finish 483
[4665.057] simulate training iteration execution finish 484
[4673.868] simulate training iteration execution finish 485
[4682.677] simulate training iteration execution finish 486
[4691.488] simulate training iteration execution finish 487
[4700.297] simulate training iteration execution finish 488
[4709.108] simulate training iteration execution finish 489
[4717.917] simulate training iteration execution finish 490
[4726.727] simulate training iteration execution finish 491
[4735.538] simulate training iteration execution finish 492
[4740.000] node10 simulate_spot_instance_remove: 4740000
[4740.000] simulate_rendezvous_start: 4740000 False
[4740.000] simulate_rendezvous_restart: 4740000
[4740.734] simulate_reconfigure: 4740734.375
[4740.734] simulate_preparation: 4740734.375 ['node7', 'node14', 'node6', 'node12', 'node5', 'node9', 'node18', 'node8', 'node24', 'node21', 'node23', 'node30', 'node29', 'node28', 'node27', 'node26', 'node32', 'node31']
[4740.734] simulate_assign_coordinates ['node7', 'node14', 'node6', 'node12', 'node5', 'node9', 'node18', 'node8', 'node24', 'node21', 'node23', 'node30', 'node29', 'node28', 'node27', 'node26', 'node32', 'node31']
4740734.375 18 nodes completed rendezvous version 8, 18x1 configuration
4740734.375 starting training with 18 18 nodes
[4749.604] simulate training iteration execution finish 493
[4758.474] simulate training iteration execution finish 494
[4767.344] simulate training iteration execution finish 495
[4776.214] simulate training iteration execution finish 496
[4785.084] simulate training iteration execution finish 497
[4793.954] simulate training iteration execution finish 498
[4800.000] node33 simulate_spot_instance_add: 4800000
[4802.824] simulate training iteration execution finish 499
[4811.694] simulate training iteration execution finish 500
[4820.564] simulate training iteration execution finish 501
[4829.434] simulate training iteration execution finish 502
[4838.304] simulate training iteration execution finish 503
[4845.000] node33 simulate_spot_instance_ready: 4845000
[4847.174] simulate training iteration execution finish 504
[4856.044] simulate training iteration execution finish 505
[4860.000] node34 simulate_spot_instance_add: 4860000
[4864.914] simulate training iteration execution finish 506
[4873.784] simulate training iteration execution finish 507
[4882.654] simulate training iteration execution finish 508
[4891.524] simulate training iteration execution finish 509
[4900.394] simulate training iteration execution finish 510
[4905.000] node34 simulate_spot_instance_ready: 4905000
[4909.264] simulate training iteration execution finish 511
[4918.134] simulate training iteration execution finish 512
[4927.004] simulate training iteration execution finish 513
[4935.874] simulate training iteration execution finish 514
[4944.744] simulate training iteration execution finish 515
[4953.614] simulate training iteration execution finish 516
[4962.484] simulate training iteration execution finish 517
[4971.354] simulate training iteration execution finish 518
[4980.224] simulate training iteration execution finish 519
[4989.094] simulate training iteration execution finish 520
[4997.964] simulate training iteration execution finish 521
[5006.834] simulate training iteration execution finish 522
[5015.704] simulate training iteration execution finish 523
[5024.574] simulate training iteration execution finish 524
[5033.444] simulate training iteration execution finish 525
[5042.314] simulate training iteration execution finish 526
[5051.184] simulate training iteration execution finish 527
[5060.054] simulate training iteration execution finish 528
[5068.924] simulate training iteration execution finish 529
[5077.794] simulate training iteration execution finish 530
[5086.664] simulate training iteration execution finish 531
[5095.534] simulate training iteration execution finish 532
[5100.000] node18 simulate_spot_instance_remove: 5100000
[5100.000] simulate_rendezvous_start: 5100000 False
[5100.000] simulate_rendezvous_restart: 5100000
[5100.000] node7 simulate_spot_instance_remove: 5100000
[5100.000] same delta as last reconfigure, skipping
[5100.000] node33 simulate_spot_instance_remove: 5100000
[5100.000] same delta as last reconfigure, skipping
[5100.734] simulate_reconfigure: 5100734.375
[5100.734] simulate_preparation: 5100734.375 ['node7', 'node14', 'node6', 'node12', 'node5', 'node9', 'node8', 'node24', 'node21', 'node23', 'node30', 'node29', 'node28', 'node27', 'node26', 'node32', 'node31', 'node33', 'node34']
[5100.734] node7 terminated during redezvous, restarting
[5100.734] simulate_rendezvous_restart: 5100734.375
[5100.734] simulate_preparation: 5100734.375
[5100.734] simulate_preparation: 5100734.375 ['node14', 'node6', 'node12', 'node5', 'node9', 'node8', 'node24', 'node21', 'node23', 'node30', 'node29', 'node28', 'node27', 'node26', 'node32', 'node31', 'node34']
[5100.734] simulate_assign_coordinates ['node14', 'node6', 'node12', 'node5', 'node9', 'node8', 'node24', 'node21', 'node23', 'node30', 'node29', 'node28', 'node27', 'node26', 'node32', 'node31', 'node34']
5100734.375 17 nodes completed rendezvous version 9, 17x1 configuration
5100734.375 starting training with 17 17 nodes
[5111.744] simulate training iteration execution finish 533
[5122.754] simulate training iteration execution finish 534
[5133.764] simulate training iteration execution finish 535
[5144.774] simulate training iteration execution finish 536
[5155.784] simulate training iteration execution finish 537
[5166.794] simulate training iteration execution finish 538
[5177.804] simulate training iteration execution finish 539
[5188.814] simulate training iteration execution finish 540
[5199.824] simulate training iteration execution finish 541
[5210.834] simulate training iteration execution finish 542
[5221.844] simulate training iteration execution finish 543
[5232.854] simulate training iteration execution finish 544
[5243.864] simulate training iteration execution finish 545
[5254.874] simulate training iteration execution finish 546
[5265.884] simulate training iteration execution finish 547
[5276.894] simulate training iteration execution finish 548
[5287.904] simulate training iteration execution finish 549
[5298.914] simulate training iteration execution finish 550
[5309.924] simulate training iteration execution finish 551
[5320.934] simulate training iteration execution finish 552
[5331.944] simulate training iteration execution finish 553
[5340.000] node30 simulate_spot_instance_remove: 5340000
[5340.000] simulate_rendezvous_start: 5340000 False
[5340.000] simulate_rendezvous_restart: 5340000
[5340.850] simulate_reconfigure: 5340850.0
[5340.850] simulate_preparation: 5340850.0 ['node14', 'node6', 'node12', 'node5', 'node9', 'node8', 'node24', 'node21', 'node23', 'node29', 'node28', 'node27', 'node26', 'node32', 'node31', 'node34']
[5340.850] simulate_assign_coordinates ['node14', 'node6', 'node12', 'node5', 'node9', 'node8', 'node24', 'node21', 'node23', 'node29', 'node28', 'node27', 'node26', 'node32', 'node31', 'node34']
5340850.0 16 nodes completed rendezvous version 10, 16x1 configuration
5340850.0 starting training with 16 16 nodes
[5351.090] simulate training iteration execution finish 554
[5361.330] simulate training iteration execution finish 555
[5371.570] simulate training iteration execution finish 556
[5381.810] simulate training iteration execution finish 557
[5392.050] simulate training iteration execution finish 558
[5400.000] node35 simulate_spot_instance_add: 5400000
[5402.290] simulate training iteration execution finish 559
[5412.530] simulate training iteration execution finish 560
[5422.770] simulate training iteration execution finish 561
[5433.010] simulate training iteration execution finish 562
[5443.250] simulate training iteration execution finish 563
[5445.000] node35 simulate_spot_instance_ready: 5445000
[5453.490] simulate training iteration execution finish 564
[5463.730] simulate training iteration execution finish 565
[5473.970] simulate training iteration execution finish 566
[5484.210] simulate training iteration execution finish 567
[5494.450] simulate training iteration execution finish 568
[5504.690] simulate training iteration execution finish 569
[5514.930] simulate training iteration execution finish 570
[5525.170] simulate training iteration execution finish 571
[5535.410] simulate training iteration execution finish 572
[5545.650] simulate training iteration execution finish 573
[5555.890] simulate training iteration execution finish 574
[5566.130] simulate training iteration execution finish 575
[5576.370] simulate training iteration execution finish 576
[5586.610] simulate training iteration execution finish 577
[5596.850] simulate training iteration execution finish 578
[5607.090] simulate training iteration execution finish 579
[5617.330] simulate training iteration execution finish 580
[5627.570] simulate training iteration execution finish 581
[5637.810] simulate training iteration execution finish 582
[5648.050] simulate training iteration execution finish 583
[5658.290] simulate training iteration execution finish 584
[5668.530] simulate training iteration execution finish 585
[5678.770] simulate training iteration execution finish 586
[5689.010] simulate training iteration execution finish 587
[5699.250] simulate training iteration execution finish 588
[5709.490] simulate training iteration execution finish 589
[5719.730] simulate training iteration execution finish 590
[5729.970] simulate training iteration execution finish 591
[5740.210] simulate training iteration execution finish 592
[5750.450] simulate training iteration execution finish 593
[5760.000] node36 simulate_spot_instance_add: 5760000
[5760.690] simulate training iteration execution finish 594
[5770.930] simulate training iteration execution finish 595
[5781.170] simulate training iteration execution finish 596
[5791.410] simulate training iteration execution finish 597
[5801.650] simulate training iteration execution finish 598
[5805.000] node36 simulate_spot_instance_ready: 5805000
[5811.890] simulate training iteration execution finish 599
[5820.000] node38 simulate_spot_instance_add: 5820000
[5820.000] node37 simulate_spot_instance_add: 5820000
[5822.130] simulate training iteration execution finish 600
[5832.370] simulate training iteration execution finish 601
[5842.610] simulate training iteration execution finish 602
[5852.850] simulate training iteration execution finish 603
[5863.090] simulate training iteration execution finish 604
[5865.000] node38 simulate_spot_instance_ready: 5865000
[5865.000] node37 simulate_spot_instance_ready: 5865000
[5873.330] simulate training iteration execution finish 605
[5883.570] simulate training iteration execution finish 606
[5893.810] simulate training iteration execution finish 607
[5904.050] simulate training iteration execution finish 608
[5914.290] simulate training iteration execution finish 609
[5924.530] simulate training iteration execution finish 610
[5934.770] simulate training iteration execution finish 611
[5945.010] simulate training iteration execution finish 612
[5955.250] simulate training iteration execution finish 613
[5965.490] simulate training iteration execution finish 614
[5975.730] simulate training iteration execution finish 615
[5985.970] simulate training iteration execution finish 616
[5996.210] simulate training iteration execution finish 617
[6006.450] simulate training iteration execution finish 618
[6016.690] simulate training iteration execution finish 619
[6026.930] simulate training iteration execution finish 620
[6037.170] simulate training iteration execution finish 621
[6047.410] simulate training iteration execution finish 622
[6057.650] simulate training iteration execution finish 623
[6067.890] simulate training iteration execution finish 624
[6078.130] simulate training iteration execution finish 625
[6088.370] simulate training iteration execution finish 626
[6098.610] simulate training iteration execution finish 627
[6108.850] simulate training iteration execution finish 628
[6119.090] simulate training iteration execution finish 629
[6129.330] simulate training iteration execution finish 630
[6139.570] simulate training iteration execution finish 631
[6149.810] simulate training iteration execution finish 632
[6160.050] simulate training iteration execution finish 633
[6170.290] simulate training iteration execution finish 634
[6180.530] simulate training iteration execution finish 635
[6190.770] simulate training iteration execution finish 636
[6201.010] simulate training iteration execution finish 637
[6211.250] simulate training iteration execution finish 638
[6221.490] simulate training iteration execution finish 639
[6231.730] simulate training iteration execution finish 640
[6241.970] simulate training iteration execution finish 641
[6252.210] simulate training iteration execution finish 642
[6262.450] simulate training iteration execution finish 643
[6272.690] simulate training iteration execution finish 644
[6282.930] simulate training iteration execution finish 645
[6293.170] simulate training iteration execution finish 646
[6300.000] node5 simulate_spot_instance_remove: 6300000
[6300.000] simulate_rendezvous_start: 6300000 False
[6300.000] simulate_rendezvous_restart: 6300000
[6300.860] simulate_reconfigure: 6300860.0
